rank,title_mal,popularity_score,quality_score,title_parsed,title_at,slug,year,season,synopsis,created_at,updated_at,deleted_at,synonyms,image,id_anime,title_matched,op_counts,ed_counts,total_counts,hardcore
1,Shingeki no Kyojin,3791790.0,8.54,shingeki no kyojin,Shingeki no Kyojin,shingeki_no_kyojin,2013,Spring,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.<br><br>
Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.<br><br>
(Source: MangaHelpers) ",2021-03-27T00:44:34.670875Z,2021-03-28T07:49:03.610544Z,,['Attack on Titan'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/mLoIEyGITkJPGCBxvjTpDyDYRM8rDb4ZuFGCKEaH.png,2611,shingeki no kyojin,2,2,4,False
2,Death Note,3759762.0,8.62,death note,Death Note,death_note,2006,Fall,"Yagami Light is a 17-year-old genius from Japan who is tired of his life, school, and the state of the world as he knows it. One day, on the way home from class, Light stumbles upon a dark notebook with ""Death Note"" written on the front. Intrigued by its appearance, Light reads the first few sentences, only to find out that it states that anyone whose name is written inside will die. Discarding it as a joke, Light continues his daily activities. Soon after though, his human curiosity takes the better of him and prompts Light to try the notebook, discovering the truth behind first sentence. Now, with power in his hands, Yagami Light is on a quest to change the world and become God of the New World. His path to holy status won't be easy however, as another genius, known as L, is working against Light's beliefs and Light himself. Who will win this power of Gods between humans?
",2021-03-27T00:43:40.010882Z,2021-03-28T01:23:37.354349Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/WrRVLWaCX8gDha9yjdEJLH2zpynxHKowG2gEXVaK.png,579,death note,2,3,5,False
3,Fullmetal Alchemist: Brotherhood,3216314.0,9.1,fullmetal alchemist: brotherhood,Fullmetal Alchemist: Brotherhood,fullmetal_alchemist_brotherhood,2009,Spring,"""In order for something to be obtained, something of equal value must be lost.""
<br><br>
Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.
<br><br>
Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.
<br><br>
(Source: MAL Rewrite)",2021-03-27T00:43:45.566253Z,2021-03-28T02:02:58.096573Z,,"['Hagane no Renkinjutsushi (2009)', 'Fullmetal Alchemist (2009)', 'FMA']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/gfq2CHywTELCdwvhg1qbHQ5kj5uoDoxFOvJ64qcG.png,797,fullmetal alchemist: brotherhood,5,5,10,False
4,One Punch Man,3097547.0,8.5,one punch man,One Punch Man,one_punch_man,2015,Fall,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch.
<br><br>
The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.   

",2021-03-27T00:44:22.689167Z,2021-03-28T06:08:45.122855Z,,"['One Punch-Man', 'One-Punch Man', 'OPM']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/ZF8O9bo6HzfHdjT3wBPBLwHQgezVMYJtnl5k1NEO.png,2146,one punch man,1,2,3,False
5,Sword Art Online,2981265.0,7.2,sword art online,Sword Art Online,sword_art_online,2012,Summer,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...<br><br>
(Source: Crunchyroll)",2021-03-27T00:44:39.801318Z,2021-03-28T08:23:43.886796Z,,"['S.A.O', 'SAO']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/IYdmoTRiGhAdf7rVnBdz0Fb3O2YbblCtvSMxeRu1.jpg,2801,sword art online,2,2,4,False
6,Boku no Hero Academia,2917448.0,7.88,boku no hero academia,Boku no Hero Academia,boku_no_hero_academia,2016,Spring,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless?<br><br>

Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny…<br><br>

(Source: Viz Media)",2021-03-27T00:43:33.725938Z,2021-03-28T00:39:28.671087Z,,['My Hero Academia'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/ddPmvU8eKAtzdm0Pxw93fXzjrtfeS7NarOMiTety.jpg,330,boku no hero academia,1,1,2,False
7,Kimetsu no Yaiba,2868020.0,8.5,kimetsu no yaiba,Kimetsu no Yaiba,kimetsu_no_yaiba,2019,Spring,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.
<br><br>
When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.
<br><br>
[Written by MAL Rewrite]",2021-03-27T00:44:04.520926Z,2021-03-28T04:10:34.382609Z,,"['Blade of Demon Destruction', 'Demon Slayer: Kimetsu no Yaiba']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/2CTJVQ8P7jNnKzrQ6D0yoAidqeUXbnNE9q6UU6x9.jpg,1502,kimetsu no yaiba,1,2,3,False
8,Naruto,2752091.0,7.99,naruto,Naruto,naruto,2002,Fall,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. <br><br>
Shunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. <br><br>
[Written by MAL Rewrite]",2021-03-27T00:44:19.512914Z,2021-03-28T05:46:53.264202Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/DBibwSqcnZEqzxncGHrOvq8YYnaNWQ3E2p5SehoF.jpg,2028,naruto,9,16,25,False
9,Tokyo Ghoul,2728920.0,7.79,tokyo ghoul,Tokyo Ghoul,tokyo_ghoul,2014,Summer,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight.
<br><br>
(Source: Anime News Network)",2021-03-27T00:44:43.976441Z,2021-03-28T08:53:07.501877Z,,['Tokyo Kushu'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/lXVlVtsCoYd2kmM4QsbXWqd63eJu2rX6OXZkia0k.jpg,2964,tokyo ghoul,1,1,2,False
11,Kimi no Na wa.,2633718.0,8.84,kimi no na wa.,Kimi no Na wa.,kimi_no_na_wa,2016,Summer,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.<br>
<br>
One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.<br>
<br>
Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.<br>
<br>
[Written by MAL Rewrite]",2021-03-27T00:44:04.745204Z,2021-03-28T04:12:04.500622Z,,['Your Name.'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/Qw3aiJpiNKmnhxH6HmDQhHLBGdbG2p6uvHvb2Has.png,1510,kimi no na wa.,2,2,4,False
