type,id_theme,id_anime,song,spoiler,nsfw,video_link,video_resolution
OP,6549,16,Answer,False,False,https://v.animethemes.moe/SangatsuNoLion-OP1.webm,1080.0
OP,6550,16,Sayonara Bystander,False,False,https://v.animethemes.moe/SangatsuNoLion-OP2.webm,1080.0
ED,6551,16,Fighter,False,False,https://v.animethemes.moe/SangatsuNoLion-ED1.webm,1080.0
ED,6552,16,Nyaa Shougi Ondo,False,False,https://v.animethemes.moe/SangatsuNoLion-ED2.webm,1080.0
ED,6553,16,orion,False,False,https://v.animethemes.moe/SangatsuNoLion-ED3.webm,1080.0
OP,6769,23,Signal,False,False,https://v.animethemes.moe/91Days-OP1.webm,1080.0
ED,6770,23,Rain or Shine,False,False,https://v.animethemes.moe/91Days-ED1.webm,1080.0
OP,6459,33,Absolute Soul,False,False,https://v.animethemes.moe/AbsoluteDuo-OP1.webm,1080.0
ED,6460,33,Believe×Believe,False,False,https://v.animethemes.moe/AbsoluteDuo-ED1.webm,1080.0
ED,6461,33,Apple Tea no Aji,False,False,https://v.animethemes.moe/AbsoluteDuo-ED2.webm,1080.0
ED,6462,33,2/2,False,True,https://v.animethemes.moe/AbsoluteDuo-ED3.webm,1080.0
OP,4681,36,Chase the world,False,True,https://v.animethemes.moe/AccelWorld-OP1.webm,1080.0
OP,4682,36,Burst The Gravity,False,False,https://v.animethemes.moe/AccelWorld-OP2.webm,1080.0
ED,4683,36,→unfinished→,False,False,https://v.animethemes.moe/AccelWorld-ED1.webm,1080.0
ED,4684,36,Unite,False,True,https://v.animethemes.moe/AccelWorld-ED2.webm,1080.0
OP,7478,52,Zenryoku☆Summer!,False,False,https://v.animethemes.moe/AhoGirl-OP1-NCBD1080.webm,1080.0
ED,7479,52,Odore! Kyu-kyoku Tetsugaku,True,True,https://v.animethemes.moe/AhoGirl-ED1-NCBD1080.webm,1080.0
OP,5170,71,Kani☆Do-Luck!,False,False,https://v.animethemes.moe/Aiura-OP1.webm,1080.0
ED,5171,71,Ichigo Ichie,False,False,https://v.animethemes.moe/Aiura-ED1.webm,1080.0
OP,7103,73,Yoru wa Nemureru kai?,False,False,https://v.animethemes.moe/Ajin-OP1-Lyrics.webm,720.0
ED,7104,73,HOW CLOSE YOU ARE,False,False,https://v.animethemes.moe/Ajin-ED1.webm,720.0
OP,6158,76,Yasashii Kibou,False,False,https://v.animethemes.moe/AkagamiNoShirayukiHime-OP1.webm,1080.0
ED,6159,76,Kizuna ni Nosete,False,False,https://v.animethemes.moe/AkagamiNoShirayukiHime-ED1.webm,1080.0
OP,5576,82,Skyreach,False,False,https://v.animethemes.moe/AkameGaKill-OP1.webm,1080.0
OP,5577,82,LIAR MASK,False,False,https://v.animethemes.moe/AkameGaKill-OP2.webm,1080.0
ED,5578,82,"Konna Sekai, Shiritakunakatta.",False,False,https://v.animethemes.moe/AkameGaKill-ED1.webm,1080.0
ED,5579,82,Tsuki Akari,False,False,https://v.animethemes.moe/AkameGaKill-ED2.webm,1080.0
OP,5418,86,Akatsuki no Yona,False,False,https://v.animethemes.moe/AkatsukiNoYona-OP1.webm,1080.0
OP,5419,86,Akatsuki no Hana,False,False,https://v.animethemes.moe/AkatsukiNoYona-OP2.webm,1080.0
ED,5420,86,Yoru,False,False,https://v.animethemes.moe/AkatsukiNoYona-ED1.webm,1080.0
ED,5421,86,Akatsuki,False,False,https://v.animethemes.moe/AkatsukiNoYona-ED2.webm,1080.0
OP,5172,94,Aku no Hana -Kasuga Takao-,False,False,https://v.animethemes.moe/AkuNoHana-OP1.webm,1080.0
OP,5173,94,Aku no Hana -Nakamura Sawa-,False,False,https://v.animethemes.moe/AkuNoHana-OP2.webm,1080.0
OP,5174,94,Aku no Hana -Saeki Nanako-,False,False,https://v.animethemes.moe/AkuNoHana-OP3.webm,1080.0
